email	create_count	delete_count	read_count	update_count
vladlenbogdanov@yandex.ru	4	1	4	3
gennadi1972@gmail.com	1	2	6	0
ggromova@yandex.ru	1	7	1	0
valeri50@yandex.ru	0	4	3	2
hariton1981@gmail.com	5	3	2	2
evseevsofron@gmail.com	1	3	2	3
shirjaevvarlaam@rambler.ru	3	2	4	1
kozlovustin@gmail.com	1	2	5	3
borisovljubim@gmail.com	1	2	5	6
natan2016@rambler.ru	3	2	5	4
konon2020@yandex.ru	1	1	2	1
idmitriev@rambler.ru	3	2	4	0
npanfilova@mail.ru	3	1	0	2
ttitov@gmail.com	1	1	6	0
agafon_1980@rambler.ru	1	2	2	3
spanfilov@hotmail.com	3	3	5	0
komissarovisa@gmail.com	7	4	2	3
lora2011@gmail.com	1	3	3	4
iraida1977@yandex.ru	2	3	5	2
filatovljubosmisl@mail.ru	2	4	2	1
fvolkova@mail.ru	4	4	2	6
demid_13@hotmail.com	4	2	2	4
shubinrodion@gmail.com	3	0	2	2
anzhelika63@yandex.ru	0	0	1	2
radislav_2018@yandex.ru	1	3	3	5
vladlen1979@rambler.ru	3	2	6	4
natanfrolov@mail.ru	2	4	2	3
klavdi89@gmail.com	3	2	5	5
sofon38@hotmail.com	2	1	3	2
gavrila2023@yahoo.com	2	0	2	3
fedor61@gmail.com	6	3	1	0
sergeevgalaktion@yandex.ru	1	4	3	2
ermola_1974@yahoo.com	3	1	1	1
nestor2003@yahoo.com	1	1	3	4
kliment_93@hotmail.com	2	3	1	1
marfa_07@mail.ru	2	0	5	2
makarovjakub@mail.ru	1	1	3	2
shirjaevspartak@yandex.ru	2	2	1	1
emiheeva@rambler.ru	5	2	4	1
vatslav_63@hotmail.com	3	5	1	1
foma_2014@mail.ru	2	5	3	4
agafonovdobromisl@yandex.ru	2	2	5	5
mechislav1993@rambler.ru	2	4	3	5
iosif_11@hotmail.com	1	3	2	6
alekse2000@yahoo.com	1	7	1	1
seliverstovmilovan@yahoo.com	5	1	1	4
kovalevagap@yahoo.com	0	2	1	5
suhanovgavrila@mail.ru	3	1	2	2
fkulagin@mail.ru	0	3	0	3
gavrilanikonov@yahoo.com	6	3	2	0
frolovavasilisa@hotmail.com	2	0	4	2
qbobilev@mail.ru	1	1	2	5
dementi_59@yahoo.com	4	6	1	3
averki_50@hotmail.com	2	5	2	2
avtonom_82@gmail.com	4	5	1	3
avde1974@rambler.ru	3	6	2	2
braginnatan@hotmail.com	3	1	1	2
ilja2009@rambler.ru	3	4	0	2
filipp_2003@mail.ru	1	4	0	2
vlasovljubim@yandex.ru	2	3	2	4
maksim_07@rambler.ru	4	6	2	1
vorobevanina@hotmail.com	0	1	3	0
sidor_05@rambler.ru	3	3	3	2
gennadimolchanov@yandex.ru	5	1	4	0
qkonovalova@rambler.ru	0	0	2	4
vasili_62@yahoo.com	0	1	1	3
belozerovnikifor@mail.ru	3	4	0	1
ilja52@rambler.ru	3	3	1	4
stepanovaalina@mail.ru	3	4	0	2
agafja1990@yahoo.com	2	0	5	1
efimovatamara@hotmail.com	7	2	4	0
vikenti_1988@hotmail.com	3	4	1	1
galkinandre@gmail.com	4	4	1	3
kir_48@gmail.com	2	1	4	0
regina_1981@yandex.ru	1	4	0	0
baranovaninel@yandex.ru	3	1	3	3
kulakovapraskovja@rambler.ru	2	5	0	1
zsokolov@hotmail.com	4	2	2	2
efimovnikodim@yahoo.com	1	1	6	4
kolobovjakub@rambler.ru	3	2	3	1
stepanovaveronika@mail.ru	6	3	2	7
vjacheslav_25@mail.ru	5	1	5	4
sila_2004@rambler.ru	4	4	3	2
jaroslavagafonov@rambler.ru	0	5	2	3
nikon_79@mail.ru	1	1	2	1
gorbunovasvetlana@yahoo.com	2	4	5	5
kiselevvsemil@gmail.com	2	3	6	2
smirnovradislav@rambler.ru	2	2	3	2
jakubsokolov@mail.ru	4	2	3	1
stanimir_79@yahoo.com	1	3	3	3
gpestova@yandex.ru	1	1	3	2
lukjan_2008@yahoo.com	3	3	2	4
nazarkovalev@mail.ru	2	1	3	4
ivanpoljakov@mail.ru	2	6	0	2
eleonora_2000@rambler.ru	0	2	2	2
svjatopolkkrjukov@yandex.ru	6	5	2	0
nadezhda14@gmail.com	2	2	1	4
tamara_32@rambler.ru	4	1	4	3
bazhen91@yahoo.com	1	2	2	3
seleznevgleb@gmail.com	0	2	3	3
