email,create_count,read_count,update_count,delete_count
agafja1990@yahoo.com,2,0,4,1
agafon_1980@rambler.ru,1,2,2,2
agafonovdobromisl@yandex.ru,2,1,4,4
alekse2000@yahoo.com,1,6,0,1
anzhelika63@yandex.ru,0,0,1,2
avde1974@rambler.ru,2,5,2,2
averki_50@hotmail.com,1,2,0,2
avtonom_82@gmail.com,2,5,0,3
baranovaninel@yandex.ru,3,1,2,1
bazhen91@yahoo.com,1,2,2,1
belozerovnikifor@mail.ru,3,4,0,1
borisovljubim@gmail.com,1,2,3,5
braginnatan@hotmail.com,2,1,1,1
dementi_59@yahoo.com,4,4,0,3
demid_13@hotmail.com,2,1,1,4
efimovatamara@hotmail.com,7,2,3,0
efimovnikodim@yahoo.com,1,1,5,3
eleonora_2000@rambler.ru,0,1,1,2
emiheeva@rambler.ru,3,2,3,1
ermola_1974@yahoo.com,2,1,1,1
evseevsofron@gmail.com,1,3,2,2
fedor61@gmail.com,5,1,1,0
filatovljubosmisl@mail.ru,2,4,2,1
filipp_2003@mail.ru,1,3,0,2
fkulagin@mail.ru,0,3,0,3
foma_2014@mail.ru,0,4,1,2
frolovavasilisa@hotmail.com,2,0,4,1
fvolkova@mail.ru,3,3,1,3
galkinandre@gmail.com,4,3,1,3
gavrila2023@yahoo.com,2,0,2,1
gavrilanikonov@yahoo.com,5,3,1,0
gennadi1972@gmail.com,1,1,5,0
gennadimolchanov@yandex.ru,4,1,4,0
ggromova@yandex.ru,1,6,1,0
gorbunovasvetlana@yahoo.com,2,3,5,5
gpestova@yandex.ru,1,1,3,2
hariton1981@gmail.com,3,3,2,2
idmitriev@rambler.ru,2,2,2,0
ilja2009@rambler.ru,2,4,0,2
ilja52@rambler.ru,1,3,1,4
iosif_11@hotmail.com,1,2,1,6
iraida1977@yandex.ru,1,1,4,1
ivanpoljakov@mail.ru,2,6,0,2
jakubsokolov@mail.ru,4,2,2,1
jaroslavagafonov@rambler.ru,0,4,2,2
kir_48@gmail.com,1,1,3,0
kiselevvsemil@gmail.com,1,2,5,2
klavdi89@gmail.com,2,2,3,4
kliment_93@hotmail.com,2,3,1,0
kolobovjakub@rambler.ru,0,2,2,1
komissarovisa@gmail.com,4,4,1,1
konon2020@yandex.ru,1,1,1,1
kovalevagap@yahoo.com,0,1,1,4
kozlovustin@gmail.com,1,2,4,1
kulakovapraskovja@rambler.ru,1,5,0,1
lora2011@gmail.com,1,3,3,4
lukjan_2008@yahoo.com,2,2,2,2
makarovjakub@mail.ru,1,1,2,1
maksim_07@rambler.ru,2,5,2,0
marfa_07@mail.ru,1,0,2,1
mechislav1993@rambler.ru,2,3,3,4
nadezhda14@gmail.com,1,2,1,3
natan2016@rambler.ru,1,2,5,4
natanfrolov@mail.ru,2,4,2,1
nazarkovalev@mail.ru,2,1,2,4
nestor2003@yahoo.com,1,1,1,3
nikon_79@mail.ru,0,1,2,1
npanfilova@mail.ru,1,1,0,2
qbobilev@mail.ru,1,0,2,4
qkonovalova@rambler.ru,0,0,2,3
radislav_2018@yandex.ru,1,2,2,4
regina_1981@yandex.ru,1,4,0,0
seleznevgleb@gmail.com,0,2,2,3
seliverstovmilovan@yahoo.com,5,1,1,4
sergeevgalaktion@yandex.ru,1,4,3,2
shirjaevspartak@yandex.ru,1,2,1,0
shirjaevvarlaam@rambler.ru,2,0,3,1
shubinrodion@gmail.com,3,0,2,2
sidor_05@rambler.ru,3,2,2,1
sila_2004@rambler.ru,4,2,3,2
smirnovradislav@rambler.ru,1,2,2,1
sofon38@hotmail.com,2,1,3,2
spanfilov@hotmail.com,3,3,1,0
stanimir_79@yahoo.com,0,3,3,2
stepanovaalina@mail.ru,3,3,0,2
stepanovaveronika@mail.ru,5,2,2,5
suhanovgavrila@mail.ru,2,1,1,1
svjatopolkkrjukov@yandex.ru,5,3,2,0
tamara_32@rambler.ru,4,1,3,1
ttitov@gmail.com,1,1,5,0
valeri50@yandex.ru,0,4,2,2
vasili_62@yahoo.com,0,1,0,2
vatslav_63@hotmail.com,3,4,0,1
vikenti_1988@hotmail.com,3,3,1,1
vjacheslav_25@mail.ru,3,0,3,4
vladlen1979@rambler.ru,2,2,6,2
vladlenbogdanov@yandex.ru,4,1,3,2
vlasovljubim@yandex.ru,2,3,2,4
vorobevanina@hotmail.com,0,1,2,0
zsokolov@hotmail.com,4,2,1,2
